file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt,source_file
VAF/HE.VAF..HHZ__20250113T080215Z__20250113T080315Z.mseed,HE,VAF,0,0,0,0,2025-01-13 08:02:20.580000,0.874,2025-01-13 08:02:30.140000,0.376,2025-01-13 08:02:15.000000,2025-01-13 08:03:15.000000,eqcct_explosions_th0_1/20250113T080215Z_20250113T080315Z/VAF_outputs/X_prediction_results.csv
OUF/HE.OUF..HHN__20250113T080221Z__20250113T080321Z.mseed,HE,OUF,0,0,0,0,2025-01-13 08:02:26.180000,0.819,2025-01-13 08:02:38.150000,0.525,2025-01-13 08:02:21.000000,2025-01-13 08:03:21.000000,eqcct_explosions_th0_1/20250113T080221Z_20250113T080321Z/OUF_outputs/X_prediction_results.csv
OBF0/HE.OBF0..HHN__20250113T080221Z__20250113T080321Z.mseed,HE,OBF0,0,0,0,0,2025-01-13 08:02:26.162000,0.696,2025-01-13 08:02:38.822000,0.379,2025-01-13 08:02:21.000000,2025-01-13 08:03:21.000000,eqcct_explosions_th0_1/20250113T080221Z_20250113T080321Z/OBF0_outputs/X_prediction_results.csv
KEF/HE.KEF..HHE__20250113T080232Z__20250113T080332Z.mseed,HE,KEF,0,0,0,0,2025-01-13 08:02:37.400000,0.5,2025-01-13 08:02:58.120000,0.334,2025-01-13 08:02:32.000000,2025-01-13 08:03:32.000000,eqcct_explosions_th0_1/20250113T080232Z_20250113T080332Z/KEF_outputs/X_prediction_results.csv
KPF/HE.KPF..HHZ__20250113T080238Z__20250113T080338Z.mseed,HE,KPF,0,0,0,0,2025-01-13 08:02:42.592000,0.778,2025-01-13 08:03:06.982000,0.224,2025-01-13 08:02:38.000000,2025-01-13 08:03:38.000000,eqcct_explosions_th0_1/20250113T080238Z_20250113T080338Z/KPF_outputs/X_prediction_results.csv
KAF/HE.KAF..HHN__20250113T080239Z__20250113T080339Z.mseed,HE,KAF,0,0,0,0,2025-01-13 08:02:43.600000,0.87,2025-01-13 08:03:10.320000,0.42,2025-01-13 08:02:39.000000,2025-01-13 08:03:39.000000,eqcct_explosions_th0_1/20250113T080239Z_20250113T080339Z/KAF_outputs/X_prediction_results.csv
NIF/HE.NIF..HHE__20250113T080239Z__20250113T080339Z.mseed,HE,NIF,0,0,0,0,2025-01-13 08:02:43.540000,0.898,2025-01-13 08:03:08.610000,0.427,2025-01-13 08:02:39.000000,2025-01-13 08:03:39.000000,eqcct_explosions_th0_1/20250113T080239Z_20250113T080339Z/NIF_outputs/X_prediction_results.csv
TRE03/HE.TRE03..CHE__20250113T080306Z__20250113T080406Z.mseed,HE,TRE03,0,0,0,0,2025-01-13 08:03:10.950000,0.137,,,2025-01-13 08:03:06.000000,2025-01-13 08:04:06.000000,eqcct_explosions_th0_1/20250113T080306Z_20250113T080406Z/TRE03_outputs/X_prediction_results.csv
TOF/HE.TOF..HHN__20250113T080319Z__20250113T080419Z.mseed,HE,TOF,0,0,0,0,2025-01-13 08:03:23.560000,0.121,,,2025-01-13 08:03:19.000000,2025-01-13 08:04:19.000000,eqcct_explosions_th0_1/20250113T080319Z_20250113T080419Z/TOF_outputs/X_prediction_results.csv
FIA0/HE.FIA0..HHZ__20250113T080319Z__20250113T080419Z.mseed,HE,FIA0,0,0,0,0,2025-01-13 08:03:23.200000,0.168,,,2025-01-13 08:03:19.000000,2025-01-13 08:04:19.000000,eqcct_explosions_th0_1/20250113T080319Z_20250113T080419Z/FIA0_outputs/X_prediction_results.csv
KJNF/HE.KJNF..CHZ__20250113T110052Z__20250113T110152Z.mseed,HE,KJNF,0,0,0,0,2025-01-13 11:00:55.680000,0.621,2025-01-13 11:00:57.690000,0.711,2025-01-13 11:00:52.000000,2025-01-13 11:01:52.000000,eqcct_explosions_th0_1/20250113T110052Z_20250113T110152Z/KJNF_outputs/X_prediction_results.csv
